long,lat,order,hole,piece,id,group,sba,NAME,N0,Var,SE,Minority,White,long_cen,lat_cen
1013251.76911662,241022.53121627,1,FALSE,1,101,101.1,101,Mott Haven / Hunts Point,363.7172,65791.35279162228,256.4982510498313,363.7172,0,1011541.7331232968,235194.76169670495
1013390.93117126,240366.89177295,2,FALSE,1,101,101.1,101,Mott Haven / Hunts Point,363.7172,65791.35279162228,256.4982510498313,363.7172,0,1011541.7331232968,235194.76169670495
1013667.59774836,240440.09327962,3,FALSE,1,101,101.1,101,Mott Haven / Hunts Point,363.7172,65791.35279162228,256.4982510498313,363.7172,0,1011541.7331232968,235194.76169670495
1013916.54273063,240549.69769362,4,FALSE,1,101,101.1,101,Mott Haven / Hunts Point,363.7172,65791.35279162228,256.4982510498313,363.7172,0,1011541.7331232968,235194.76169670495
1014165.62034993,240550.00377606,5,FALSE,1,101,101.1,101,Mott Haven / Hunts Point,363.7172,65791.35279162228,256.4982510498313,363.7172,0,1011541.7331232968,235194.76169670495
1014470.0485402,240550.38135213,6,FALSE,1,101,101.1,101,Mott Haven / Hunts Point,363.7172,65791.35279162228,256.4982510498313,363.7172,0,1011541.7331232968,235194.76169670495
1014719.12614369,240550.69312144,7,FALSE,1,101,101.1,101,Mott Haven / Hunts Point,363.7172,65791.35279162228,256.4982510498313,363.7172,0,1011541.7331232968,235194.76169670495
1015051.2296246,240551.11279469,8,FALSE,1,101,101.1,101,Mott Haven / Hunts Point,363.7172,65791.35279162228,256.4982510498313,363.7172,0,1011541.7331232968,235194.76169670495
1015327.98251073,240551.4659977,9,FALSE,1,101,101.1,101,Mott Haven / Hunts Point,363.7172,65791.35279162228,256.4982510498313,363.7172,0,1011541.7331232968,235194.76169670495
1015742.78052312,240807.0371084,10,FALSE,1,101,101.1,101,Mott Haven / Hunts Point,363.7172,65791.35279162228,256.4982510498313,363.7172,0,1011541.7331232968,235194.76169670495
1015853.38552389,240880.04843209,11,FALSE,1,101,101.1,101,Mott Haven / Hunts Point,363.7172,65791.35279162228,256.4982510498313,363.7172,0,1011541.7331232968,235194.76169670495
1015743.49047136,240260.53273931,12,FALSE,1,101,101.1,101,Mott Haven / Hunts Point,363.7172,65791.35279162228,256.4982510498313,363.7172,0,1011541.7331232968,235194.76169670495
1015660.79404876,240005.38969243,13,FALSE,1,101,101.1,101,Mott Haven / Hunts Point,363.7172,65791.35279162228,256.4982510498313,363.7172,0,1011541.7331232968,235194.76169670495
1015495.67768613,239276.50289574,14,FALSE,1,101,101.1,101,Mott Haven / Hunts Point,363.7172,65791.35279162228,256.4982510498313,363.7172,0,1011541.7331232968,235194.76169670495
1015412.97526425,239021.36080855,15,FALSE,1,101,101.1,101,Mott Haven / Hunts Point,363.7172,65791.35279162228,256.4982510498313,363.7172,0,1011541.7331232968,235194.76169670495
1015606.5731472,239130.9114186,16,FALSE,1,101,101.1,101,Mott Haven / Hunts Point,363.7172,65791.35279162228,256.4982510498313,363.7172,0,1011541.7331232968,235194.76169670495
1015744.95769719,239131.09079507,17,FALSE,1,101,101.1,101,Mott Haven / Hunts Point,363.7172,65791.35279162228,256.4982510498313,363.7172,0,1011541.7331232968,235194.76169670495
1015783.4219734,239136.24150517,18,FALSE,1,101,101.1,101,Mott Haven / Hunts Point,363.7172,65791.35279162228,256.4982510498313,363.7172,0,1011541.7331232968,235194.76169670495
